row,values
1,117.34133333333334
2,116.512
3,115.775
4,115.10233333333333
5,114.24833333333333
6,113.49433333333333
7,112.69266666666667
8,111.88466666666666
9,111.074
10,110.24933333333333
11,109.42
12,108.578
13,107.75433333333334
14,106.901
15,106.12533333333333
16,105.23166666666667
17,104.353
18,103.517
19,102.669
20,101.797
21,100.884
22,99.85233333333333
23,98.83233333333334
24,97.76266666666666
25,96.73633333333333
26,95.738
27,94.78733333333334
28,93.82733333333333
29,92.84566666666667
30,91.89266666666667
31,90.95833333333333
32,90.04033333333334
33,89.105
34,88.17
35,87.252
36,86.32633333333334
37,85.40033333333334
38,84.477
39,83.536
40,82.57333333333334
41,81.61766666666666
42,80.656
43,79.703
44,78.786
45,77.82366666666667
46,76.85033333333334
47,75.89266666666667
48,74.941
49,74.00533333333334
50,73.07266666666666
51,72.13033333333334
52,71.17966666666666
53,70.20533333333333
54,69.25433333333334
55,68.313
56,67.32966666666667
57,66.39
58,65.46066666666667
59,64.49266666666666
60,63.548
61,62.61633333333334
62,61.65566666666667
63,60.708333333333336
64,59.74933333333333
65,58.784
66,57.81
67,56.849333333333334
68,55.881
69,54.91566666666667
70,53.98
71,53.004
72,52.02333333333333
73,51.034333333333336
74,50.088
75,49.16566666666667
76,48.21633333333333
77,47.239
78,46.262
79,45.30166666666667
80,44.318666666666665
81,43.32566666666666
82,42.33866666666667
83,41.38333333333333
84,40.42633333333333
85,39.44466666666667
86,38.47933333333334
87,37.48233333333333
88,36.51266666666667
89,35.543
90,34.55833333333333
91,33.598
92,32.628
93,31.650666666666666
94,30.679
95,29.728
96,28.757
97,27.777333333333335
98,26.800333333333334
99,25.823666666666668
100,24.831
101,23.874
102,22.891666666666666
103,21.916333333333334
104,20.939333333333334
105,19.964
106,18.992
107,17.993
108,17.004666666666665
109,16.015333333333334
110,15.074
111,14.116999999999999
112,13.128
113,12.163
114,11.193333333333333
115,10.190666666666667
116,9.209666666666667
117,8.221
118,7.230333333333333
119,6.255333333333334
120,5.286666666666667
121,4.316
122,3.372333333333333
123,2.4226666666666667
124,1.5426666666666666
125,0.8396666666666667
126,0.41166666666666674
127,0.19400000000000003
128,0.061666666666666675
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
